tweet_id,tweet,emotion
30-08-2019 03:43,b'@RyanBurnsMN They should be mauling a smaller Dline.....but SD is beating them off the ball. #Sad',sad
30-08-2019 03:43,"b'RT @_vastilator: #sad, but what\xe2\x80\x99s new lol'",not relevant
30-08-2019 03:43,"b""in conclusion, i'm about to break the laws of physics and climb right through this damn screen just to hug these tw\xe2\x80\xa6 https://t.co/yTxuIkbvZx""",sad
30-08-2019 03:42,b'the artist is love #sad',not relevant
30-08-2019 03:42,b'Stephanie Larson\xe2\x80\x99s death hit me hard. My heart breaks for her children and family. I don\xe2\x80\x99t know the details as to w\xe2\x80\xa6 https://t.co/gFaedk3hMM',sad
30-08-2019 03:42,b'RT @MarionTschirret: @DonaldJTrumpJr  Hurrrumph!  #SAD #LOSER https://t.co/Si9bQ0LynP',sad
30-08-2019 03:40,b'Good Music Sould  Matter More \xf0\x9f\x92\xaf\nhttps://t.co/HijGuKgT9e\n\n#lyrics #music #rap #hiphop #love #song #rapper #sad\xe2\x80\xa6 https://t.co/iBAFOeU0bX',sad
30-08-2019 03:39,"b'@kayleighmcenany Oh wow! In three minutes on @CuomoPrimeTime last night, you managed to lie about a lying liar who\xe2\x80\xa6 https://t.co/yRzBf5oMPk'",sad
30-08-2019 03:39,b'@DonaldJTrumpJr  Hurrrumph!  #SAD #LOSER https://t.co/Si9bQ0LynP',sad
30-08-2019 03:38,"b'So sweet.. ahh, if only life could be this sweet and innocent! But the #Libs ruined that for us with their BS ideol\xe2\x80\xa6 https://t.co/BaL3e2USgt'",sad
30-08-2019 03:38,"b'@Glevelm @EdSantora @patton6966 Unfortunately since this afternoon\nLeft has been posting tweets ""praying""\n#Dorian w\xe2\x80\xa6 https://t.co/JsPlzGB5EJ'",sad
30-08-2019 03:38,b'if you feel Connected RT Now!\n#shayari #love #poetry #urdu #urdupoetry #shayarilover #hindi #shayar #quotes\xe2\x80\xa6 https://t.co/558ro8veVh',sad
30-08-2019 03:38,b'@LisaMei62 Unbelievable! Where is the loyalty and duty in this day and age?! Good riddance. Tough to get a job when\xe2\x80\xa6 https://t.co/dGiGADwIPD',sad
30-08-2019 03:38,b'Old But Gold ! #NARUTO #Despair #sad https://t.co/3Gj7MDKqvQ',happy
30-08-2019 03:38,b'pop music peaked in this year. #sad https://t.co/nRxhfk8lM0',sad
30-08-2019 03:36,b'RT @s_geeck: @RomanAtwood this is what so sad when your pastor or freind and even your mom dies that\xe2\x80\x99s sad I\xe2\x80\x99ve tried to talk to you on You\xe2\x80\xa6',sad
30-08-2019 03:33,"b'RT @MBOKSR_MAGA: @realDonaldTrump Why would the Feds do anything. The DOJ lets criminals off, declines to prosecute anyone even when their\xe2\x80\xa6'",sad
30-08-2019 03:32,b'RT @alynaamariee: im #sad over the same shit',sad
30-08-2019 03:30,"b'Trumps as coined the ""#sad"" word, but I want to coin the ""joy"" word! Joy after losing something, finding JOY, for a\xe2\x80\xa6 https://t.co/6K3PyphMIA'",sad
30-08-2019 03:28,b'@fireewalkwithme honestly \xf0\x9f\xa5\xba #sad',sad
30-08-2019 03:28,"b""Who wants to get 'chipped'?\nNow, they can just have their hands read by a reader, similar to using a #smartphone to\xe2\x80\xa6 https://t.co/XtRBWD6CFs""",sad
30-08-2019 03:28,b'cried a lot tonight.... but these two right here mean so much to me! I can\xe2\x80\x99t believe the season is over \xf0\x9f\x98\xa2 thank you\xe2\x80\xa6 https://t.co/6yw4EBh8QT',no code
30-08-2019 03:27,"b'RT @Emolclause: So #Trump is supposed to be the ""TOUGH ILLEGALS"" President yet FOR YEARS he profited from young European Models who work\xe2\x80\xa6'",sad
30-08-2019 03:26,b'@IngrahamAngle It must be hard for Ocasio to take abuse from a weak and broken woman like Laura Ingraham  #SAD',sad
30-08-2019 03:25,"b""@Pinandpuller @TheKingsmuth @TheFirstWorld2 @addameus @justoneblackman @DrSamiSchalk I'm afraid it's an IQ issue truth be told. #Sad""",sad
30-08-2019 03:22,b'@WeAreAllQ @SimoneEllis2 @outlawjw Unfortunately haters are Always going to hate ... #SAD The Good News is we know\xe2\x80\xa6 https://t.co/iuE2334MK3',sad
30-08-2019 03:22,b'@AOC No you\xe2\x80\x99re truly a low I.Q. Individual. #Sad&amp;Pathetic \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\xa4\xaf',sad
30-08-2019 03:22,"b'If your video needs an #emotional, #atmospheric #music backing, check out this #royaltyfree track by\xe2\x80\xa6 https://t.co/7SEeLsryJo'",sad
30-08-2019 03:21,b'RT @lifelessonsforu: You should also be #proud. https://t.co/eI08CFrIKa #sad #strong https://t.co/33uqiohFF3',sad
30-08-2019 03:21,b'Ghosted (Witt Lowry | NF Emotional Piano Type Beat) Prod. by Trunxks https://t.co/LeAEYCcbqX via @YouTube\xe2\x80\xa6 https://t.co/uZeZcdiJFZ',not relevant
30-08-2019 03:21,b'when you didn\xe2\x80\x99t bring the milk for the @ChipsAhoy\xe2\x80\x99s. V upset rn. #ChipsAhoy #chocolate #nomnom #sad #wheresthemilk #tweeterdeeterdump',happy
30-08-2019 03:20,"b""I thought I was going to play @TheDivisionGame but noooo... i'm until now... editing a video... #sad""",no code
30-08-2019 03:20,b'@donniebartlett9 @DrRDubKellerISD @SomerhalderTCHS @TCHSTalon \nWhy does TimberCreek no longer have a falcon mascot\xe2\x80\xa6 https://t.co/p6ZPpYxe6C',sad
30-08-2019 03:19,b'I really want them but im broke so rip \xf0\x9f\x98\xad\n#fortnite #nerf #walmart #video #money #sad https://t.co/IA47zzxbpe',sad
30-08-2019 03:19,b'RT @Dailylifedoses: #Sad? feeling #stress? Not everyday of life is same and #happy.  But few things we can change to be #positive. HOW? \n#P\xe2\x80\xa6',sad
30-08-2019 03:18,b'But the men now wanna be women. #sad https://t.co/ZskFTBGS3I',sad
30-08-2019 03:17,"b'@trishankkarthik @birdxi1988 I think there\'s something to neuroplasticity - in the sense of ""healing"". Part of this\xe2\x80\xa6 https://t.co/68ZZtBwOV5'",sad
30-08-2019 03:16,b'@ChetSimpson @sylvie41239272 @n2_bowling @Comey Somebody needs to GET some lol #sad',sad
30-08-2019 03:13,"b'It\xe2\x80\x99s #sad no one really reads your about me on a #dating site , they click your page based on your #photos'",sad
30-08-2019 03:13,b'RT @KevinMcNamara33: No witty comeback needed here....SMH #Sad https://t.co/DzI9hKPuxt',sad
30-08-2019 03:13,"b'""Life\'s missions aren\'t fulfilled in any one single moment. Moving on to the next moments, as fresh as every is, Li\xe2\x80\xa6 https://t.co/I5vh2rs1Lk'",sad
30-08-2019 03:12,b'@FranksFandoms Unfortunately unity is impossible when you have people with seemingly louder voices than anybody els\xe2\x80\xa6 https://t.co/wb2UvlNhMn',sad
30-08-2019 03:10,b'@G1Afan @TheGreatFeather @Herbert_L_Reed Only a trump supporter would think this my real profile. I\xe2\x80\x99m actually in t\xe2\x80\xa6 https://t.co/6ulrldlwps',sad
30-08-2019 03:10,"b'The despicable, grifting Socialist Authoritarian Dispensationalist #SAD @IlhanMN needs to be prosecuted and deporte\xe2\x80\xa6 https://t.co/6Y5hltqjtf'",sad
30-08-2019 03:10,b'RT @merlinsscience: @JunkLiberal @JayneDutra @businessinsider These people don\xe2\x80\x99t even know how dumb they are. It\xe2\x80\x99s just #Sad',not relevant
30-08-2019 03:10,b'RT @SafiyahNoor1: @RepMarkMeadows Did you read the other 87 pages of this report? Apparently not. #Sad\nComey DID NOT disseminate classified\xe2\x80\xa6',sad
30-08-2019 03:09,b'RT @alynaamariee: im #sad over the same shit',sad
30-08-2019 03:09,b'@MatthewJshow @realDonaldTrump It\xe2\x80\x99s clear you have no idea what a leader is.   #sad',sad
30-08-2019 03:08,b'Crud. #Cowboys go for 2 to tie and miss the pass. No OT football in the final preseason game. #sad\n#DALvsTB',sad
30-08-2019 03:07,b'im #sad over the same shit',sad
30-08-2019 03:07,b'Remember when supporters of @POTUS got their land taken and then their farms went bankrupt? That\xe2\x80\x99s what I\xe2\x80\x99m gonna b\xe2\x80\xa6 https://t.co/YIJiCKmmbD',sad
30-08-2019 03:06,b'RT @FrenteLo: Please help Hong Kong! \xf0\x9f\x87\xad\xf0\x9f\x87\xb0  #sos #freedom #democracy #Sad https://t.co/9tbqZ0Regd',sad
30-08-2019 03:05,b'#sad I didn\xe2\x80\x99t realize Bernie was in Myrtle #tonight to see him at city hall \xf0\x9f\x98\x94 I\xe2\x80\x99m a #waste to society',sad
30-08-2019 03:05,b'@PLSHSTitans So I understand that a football game broke out in the middle of a band competition tonight?  At least\xe2\x80\xa6 https://t.co/2q4y0308bw',sad
30-08-2019 03:04,b'@JunkLiberal @JayneDutra @businessinsider These people don\xe2\x80\x99t even know how dumb they are. It\xe2\x80\x99s just #Sad',not relevant
30-08-2019 03:04,b'Please help Hong Kong! \xf0\x9f\x87\xad\xf0\x9f\x87\xb0  #sos #freedom #democracy #Sad https://t.co/9tbqZ0Regd',sad
30-08-2019 03:02,"b'I think there might be more people at a basketball sectional final game at Piqua, then what is at a Florida Marlins\xe2\x80\xa6 https://t.co/MEZZLcRsRC'",sad
30-08-2019 03:00,b'i have to wait 20 min for the L but i have ice cream and it\xe2\x80\x99s gonna melt \xe2\x98\xb9\xef\xb8\x8f #sad',sad
30-08-2019 02:57,b'I lost myself in loving you.\n#love #quotes #sad',sad
30-08-2019 02:57,b'Bruh. These #republican #snowflakes are starting to accumulate \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82. #sad #babyTeaBaggers',sad
30-08-2019 02:56,b'RT @jjlynn5110_jo: The legacy of hate exist! #sad Evidence is always true! Hate and Ignorance is also seen! https://t.co/BNvaZKV8po',sad
30-08-2019 02:55,b'@oscargaspar1902 Tag me #sad',sad
30-08-2019 02:55,b'ever spent the day with somebody and they make i feel so special.. then the next day act like your a sign they walk\xe2\x80\xa6 https://t.co/WJVzpo4XM8',sad
30-08-2019 02:54,"b'RT @Emolclause: So #Trump is supposed to be the ""TOUGH ON ILLEGALS"" President yet FOr YEARS he profited from young European Models who work\xe2\x80\xa6'",not relevant
30-08-2019 02:53,"b""I don't usually pay attention to junk mail, but this pic caught my eye so I tore it out to read. Turns out it's a k\xe2\x80\xa6 https://t.co/fqkrGrURbL""",sad
30-08-2019 02:53,"b""I could repeat this at least 8 times (for every shot fired by the rogue cop) -  There's a sad weird hush about this\xe2\x80\xa6 https://t.co/74V0euZbxc""",sad
30-08-2019 02:53,b'Lots of changes coming to Facebook Messenger.\n\nNot all of them good.\n\n#sad https://t.co/ryy4aQxdS8',sad
30-08-2019 02:52,"b'RT @Emol: So #Trump is supposed to be  ""TOUGH ON ILLEGALS"" President yet FOR YEARS he profited from young European Models who work\xe2\x80\xa6'",sad
30-08-2019 02:52,"b""My dad is getting rid of his big blue truck tomorrow and I'm honestly #sad about it""",sad
30-08-2019 02:52,"b'RT @_vastilator: #sad, but what\xe2\x80\x99s new lol'",sad
30-08-2019 02:52,"b""There's a sad weird hush about this whole thing from the authorities from @LAPDHQ and @CoronaPD @RivCoDA #Sad https://t.co/HvCZNKhPFf""",sad
30-08-2019 02:51,b'Ivanka Trump will be happy to always give you the exclusive celebrity deal where you can buy from her fashion line\xe2\x80\xa6 https://t.co/nmDcWm9Dps',no code
30-08-2019 02:51,b'for some reason i am sad because of sadness. is this just me? #sad #feels',sad
30-08-2019 02:50,"b'After reading the comments, you realise why this old men will always be at the helm of leadership in Nigeria.  #sad. https://t.co/FyecqBfsxg'",sad
30-08-2019 02:50,b'@CBSNews Got to hand it to #China. They waited until #Kickoff of #ThursdayNight #CollegeFootball ... to roll the ta\xe2\x80\xa6 https://t.co/rIaxfRdNcn',sad
30-08-2019 02:50,b'RT @alysonlasley: .Love Sought After.\n#poem #poetrycommunity #poets #writing #thoughts #thought #writer #short #poems #love #sought #after\xe2\x80\xa6',sad
30-08-2019 02:49,"b'RT @Emolclause: So #Trump is supposed to be the ""TOUGH ON ILLEGALS"" President yet FOR YEARS he profited from young European Models who work\xe2\x80\xa6'",sad
30-08-2019 02:48,b'#SAD\nAbandoned California Theatre To Become A Massive Downtown Condo Tower https://t.co/lpuopAPy4A via @KPBSnews',not relevant
30-08-2019 02:48,"b""4/4 This lack of #integrity is a #bane to #Nigeria's\xf0\x9f\x87\xb3\xf0\x9f\x87\xac development. #sad \xf0\x9f\x98\xa1\n@obyezeks @segalink @theplatformng\xe2\x80\xa6 https://t.co/bJ7aXWJnxV""",sad
30-08-2019 02:47,b'RT @whateyethynk: @NWS @realDonaldTrump Maybe it will clean the bedbugs out of your Doral club. LOL #BedBugs #G7 #Doral #DoralBedBugs #sad\xe2\x80\xa6',sad
30-08-2019 02:47,"b""I'm wondering if you had an 'agency' monitoring tweets. Lawyers engaged, and police involved. Why would you tweet a\xe2\x80\xa6 https://t.co/5CRRB2y6hz""",not relevant
30-08-2019 02:45,b'.Love Sought After.\n#poem #poetrycommunity #poets #writing #thoughts #thought #writer #short #poems #love #sought\xe2\x80\xa6 https://t.co/B9IUZD8WLy',no code
30-08-2019 02:43,b'Not surprising how Lecrae message in his music has change. #Sad https://t.co/lez6Tc0F4v',sad
30-08-2019 02:42,b'RT @mrkapsd3: @KapilSharmaK9 @TheRichaSharma #2019 #latest #love #sad #song #Yaadein #MrKaps guys pls watch full video on YouTube \xf0\x9f\x98\x8a\xf0\x9f\xa4\x97\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xe2\x9d\xa4\xef\xb8\x8flin\xe2\x80\xa6',no code
30-08-2019 02:42,b'Should have been me by JC #feels #inmyfeels #music #new #newmusic #trending #pop #popmusic #dancing #hiphop #love\xe2\x80\xa6 https://t.co/rBJ9QcNzHz',not relevant
30-08-2019 02:41,"b'#HurricaneDorian will turn @realDonaldTrump\xe2\x80\x99s Floridian base. This IS his big test in office, and he\xe2\x80\x99ll only worry\xe2\x80\xa6 https://t.co/jyo3nTIrGm'",not relevant
30-08-2019 02:41,"b""@washingtonpost Seems the haters &amp; naysayers complain no matter what #Trump does..\nIf he went on the trip they'd sa\xe2\x80\xa6 https://t.co/AWRlQVP7nY""",sad
30-08-2019 02:40,b'\xf0\x9f\x86\x95\nNo.1205\nClown series\n21.5x28 Cms\nOil/ Mixed media on paper\nAvailable/ Disponible\n.\n.\n.\n.\n.\n.\n.\n.\n.\n#art #artwork\xe2\x80\xa6 https://t.co/I1OLaVWSlY',no code
30-08-2019 02:40,b'My father told me that I\xe2\x80\x99m a stupid for watch and love #prowrestling and I felt terrible. In that moment my heart b\xe2\x80\xa6 https://t.co/92IY9k6RMh',sad
30-08-2019 02:40,b'It all feels the same now.  #depressed #sad',sad
30-08-2019 02:38,b'RT @boibeats_: This is \xe2\x80\x9cher\xe2\x80\x9d \xf0\x9f\x96\xa4\n\nTags/ #lofi #lofihiphop #chill #Chillout #sad #sadvibes #vibes #music #worldmusic #bass #bassnation #chilln\xe2\x80\xa6',not relevant
30-08-2019 02:38,b'@BrownleeMike @FLOTUS @fema Pretty much par for the course.....it\xe2\x80\x99s Back to the Future II- to a tee! #Sad!!',sad
30-08-2019 02:37,b'Guys. I went to the park today and learned swinging makes me nauseous. Is this what old feels like?! Wtf \xf0\x9f\x98\xa9\xf0\x9f\x98\xad\xf0\x9f\xa4\xa2 #sad\xe2\x80\xa6 https://t.co/cdTDEIOulL',no code
30-08-2019 02:37,"b""RT @Emolclause: Yet another WELL-SOURCED\xf0\x9f\x91\x87\xf0\x9f\x91\x87 #BreakingNews which #MSM likely WON'T COVER. #SAD!! cc @jkbjournalist \n\n#TheResistance #Epstein\xe2\x80\xa6""",sad
30-08-2019 02:36,b'I just use for 2months and there are hole in my @newbalance shoe. #Sad #newbalance  #newbalanceshoe https://t.co/YNGYNmWrwB',sad
30-08-2019 02:35,b'@NBCNightlyNews coverage of Comey IG release is just #sad.',sad
30-08-2019 02:35,b'RT @lifelessonsforu: You should also be #proud. https://t.co/eI08CFrIKa #sad #strong https://t.co/33uqiohFF3',sad
30-08-2019 02:35,"b'RT @MBOKSR_MAGA: @realDonaldTrump Why would the Feds do anything. The DOJ lets criminals off, declines to prosecute anyone even when their\xe2\x80\xa6'",sad
30-08-2019 02:34,b'My ex said. \xe2\x80\x9cAll politicians are corrupt. At least our economy is awesome under Trump.\xe2\x80\x9d \n\nSo sad. So so sad. #sad! https://t.co/Jw54Uo93t4',sad
30-08-2019 02:33,b'RT @GOCOAST: @brianshrive @Kimberly_Cincy @JohnCranley @hksparling @Enquirer @BRADLEYWTHOMAS That\xe2\x80\x99s the point that supplicant media miss. \xe2\x80\x9c\xe2\x80\xa6',not relevant
30-08-2019 02:33,b'RT @stbluvoter: @SusanSarandon @TulsiGabbard How much is Putin paying you? #sad',sad
30-08-2019 02:32,b'ive been listening to \xe2\x80\x9csomeone you loved\xe2\x80\x9d by lewis and im kinda #sad now',sad
30-08-2019 02:31,b'Sad Status for Whatsapp\n\nhttps://t.co/6lQsbh2bZC\n\n#sadstatus #Sad #sadquotes #hindiquotes #sadstatusforwhatsapp https://t.co/ucdDI1KVeF',sad
30-08-2019 02:31,b'#Lucerofer #Shock #Shocking #Buer the #Sad #SadStory #Monkey #SHOCK\xe8\xad\xb2 on #shovelknight #SHOCKERS will #SHOCK\xe5\x90\x8c\xe8\xa1\x8c\xe2\x80\xa6 https://t.co/QwmYuDDDxH',sad
30-08-2019 02:30,"b""RT @Emolclause: #BREAKING:Just when you thought #Trump admin couldn't GO BELOW the EVIL child separation policy, we now find out that they\xe2\x80\xa6""",sad
30-08-2019 02:28,b'Girls just give me boners and make me sad #sad',sad
30-08-2019 02:26,b'@Canuck_Chickie @GHTalkDaily They are far BEYOND #SaD \xf0\x9f\x98\xac\n\nDeath threats to Actors and Execs! INSANITY!!',sad
30-08-2019 02:25,b'The administration for @POTUS and himself are trash. #shitshow #sad #fartfaceTrump #fatPrez #trumpchunk #downsadmin #ballchin',sad
30-08-2019 02:24,b'RT @stbluvoter: @SusanSarandon @TulsiGabbard How much is Putin paying you? #sad',sad
30-08-2019 02:23,b'This is \xe2\x80\x9cher\xe2\x80\x9d \xf0\x9f\x96\xa4\n\nTags/ #lofi #lofihiphop #chill #Chillout #sad #sadvibes #vibes #music #worldmusic #bass\xe2\x80\xa6 https://t.co/JySjns0fso',not relevant
30-08-2019 02:22,"b'RT @SiRRaaLF: @imMAK02 @Twitter @kavita_krishnan But Qut Contrary to this, 2hurt the People (Particularly Minorities) sentiments by all mea\xe2\x80\xa6'",sad
30-08-2019 02:22,"b'RT @MBOKSR_MAGA: @realDonaldTrump Why would the Feds do anything. The DOJ lets criminals off, declines to prosecute anyone even when their\xe2\x80\xa6'",sad
30-08-2019 02:22,"b""@JTM1028 The worst part of your #sad alarm clock routine is not the number of alarms...it's the fact that you do no\xe2\x80\xa6 https://t.co/LO7DC5LTLP""",sad
30-08-2019 02:22,b'@davidhogg111 @senatemajldr I\xe2\x80\x99m a nurse &amp; I didn\xe2\x80\x99t even learn bullets wounds this thoroughly\xf0\x9f\x98\xb3. This is not a teachers job. #sad',sad
30-08-2019 02:22,b'Why Am I So In Love\xf0\x9f\x92\x95\xe2\x9d\xa4\xef\xb8\x8f #Love #Sad #brokenheart https://t.co/EAKUWLubf8',sad
30-08-2019 02:19,b'#LOL #Trump Jr. event so \xe2\x80\x98sparsely attended\xe2\x80\x99 that people were asked to leave seats and huddle around stage: reporte\xe2\x80\xa6 https://t.co/rnqbIrALX7',sad
30-08-2019 02:18,b'My brother is on the deck and im locked away in my room cause #sad and he sends me this. I love him. https://t.co/sP09NpzdxB',sad
30-08-2019 02:17,"b""RT @rmasher2: Heck of a job, Donnie.\n\nTrump's maladministration diverts $271M from FEMA disaster relief funds to pay for border enforcement\xe2\x80\xa6""",sad
30-08-2019 02:17,"b'A moment with Chad: if everyone washed their hands, a million deaths could be prevented worldwide. Keep scrubin! #SAD #ChadFact'",sad
30-08-2019 02:16,"b'RT @Emolclause: So #Trump is supposed to be the ""TOUGH ON ILLEGALS"" President yet FOR YEARS he profited from young European Models who work\xe2\x80\xa6'",sad
30-08-2019 02:15,b'@SteveTasker89 I can\xe2\x80\x99t believe I remember that either. #Sad',sad
30-08-2019 02:14,b'@WCVB What a waste of time and energy. #sad',sad
