,tweet,emotion,pre_clean_len,clean_text
21,@nationalgallery #AskTheGallery Why do you pay your brilliant staff so poorly?,angry,78,askthegallery why do you pay your brilliant staff so poorly
22,A sneak peek @BritishMuseum’s #IndigenousAustralia exhibition http://t.co/cZFrjkM2pK,nocode,84,a sneak peek s indigenousaustralia exhibition
23,Couldn't agree more ; counting the days till we see @kettlesyard again ! https://t.co/5Re1PZr3HZ,nocode,96,couldn t agree more counting the days till we see again
24,#bennicholson @kettlesyard http://t.co/niI8OQYb3e http://t.co/RBMeP7d3tM,nocode,72,bennicholson
25,@museum140 @NationalGallery of course! #InstaMuseum,nocode,51,of course instamuseum
26,@britishmuseum soo beautiful,happy,28,soo beautiful
27,"@NationalGallery I do, I do, I do. :)",happy,37,i do i do i do
28,@tateliverpool one of my favourite paintings! He was a great artist,happy,67,one of my favourite paintings he was a great artist
29,Free CPD afternoon for @PlymouthMuseum's 2016 'War Games' exhibition on Thurs 2 Jul from 4pm #plymouth. Details at http://t.co/2ctn5flODc,nocode,137,free cpd afternoon for s war games exhibition on thurs jul from pm plymouth details at
30,The Magna Carta exhibition @britishmuseum was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!,happy,128,the magna carta exhibition was quite extraordinary very imaginatively done even a bit of tony hancock in there
31,"Over 100 people signed up for 'What's It Worth?' @britishmuseum! Don't miss out, book now! #cdavalue #PhDchat #ahrc10 http://t.co/ToFPL9m2YY",not-relevant,140,over people signed up for what s it worth don t miss out book now cdavalue phdchat ahrc
32,@plymouthcc @PlymouthMuseum,nocode,27,
33,"Kudos, @FitzMuseum_UK, for a top-flight WC exhibition!",happy,54,kudos for a top flight wc exhibition
34,"Jack from @britishmuseum blogs about how #museums can keep up with tech &amp; youngsters, its all in the collection - http://t.co/Tkd8aep3OT",nocode,140,jack from blogs about how museums can keep up with tech youngsters its all in the collection
35,@_TheWhitechapel @mitpress @monoskop http://t.co/fxp5kjuGV2,nocode,59,
36,@stiveshouse @MillenniumArt @Tate_StIves @Tremenheere ooh... Please let us know how it is!!!,happy,92,ooh please let us know how it is
37,I miss Cornwall so much. #ff @FernPitCafe @PentireNewquay @FalconInnMawgan @trebahgarden @Tate_StIves @NewquayRNLI @HeliganGardens,not-relevant,130,i miss cornwall so much ff
38,£10 off @accessart http://t.co/0biFQaXTQg membership plus offers from @royalacademy  @NationalGallery with @CASSART http://t.co/6JTpkIzyGg,not-relevant,138,off membership plus offers from with
39,@britishmuseum @Ophiolatrist Spain? Egypt?,nocode,42,spain egypt
40,Enjoying the amazing collections @britishmuseum with the family http://t.co/nSbD7DwNM1,happy,86,enjoying the amazing collections with the family
41,"Ædwen's Brooch - story of an #AngloSaxon lady, filmed at @WestStowNews for @ElyMuseum &amp; @britishmuseum exhibition https://t.co/oRdig1DerL",nocode,141,dwen s brooch story of an anglosaxon lady filmed at for exhibition
42,@NationalGallery Beautiful painting.  Thank you.,happy,48,beautiful painting thank you
43,#definingbeauty @britishmuseum a truly breathtaking exhibition.fascinating on portrayals of women http://t.co/lyoR6HJEqL,happy,120,definingbeauty a truly breathtaking exhibition fascinating on portrayals of women
44,@DavidSmithArt @ThelmaHulbert @LisaLooly @DrawntoDevon @MooseAllain @roshvarosha haha not in my case...,nocode,103,haha not in my case
45,The Great Court of the @britishmuseum #london. #photography http://t.co/6Oy3PPHnXy,nocode,82,the great court of the london photography
46,@NationalGallery https://t.co/GHm3lO0hXY 👋🎨,nocode,43,
47,"@britishmuseum It's one of them things, innit?",nocode,46,it s one of them things innit
48,Discover The Arts with Social Media: NOHO Co-Founder Rod McIntosh on NOHO Origins* https://t.co/tJmlzSRVvv @_TheWhitechapel #London #Art,nocode,136,discover the arts with social media noho co founder rod mcintosh on noho origins london art
49,"@laiyaharvey thank you for the favourite, following you back, your mum @Andjustbeingme did a great job at #DefeatingDepression @RAMMuseum",happy,137,thank you for the favourite following you back your mum did a great job at defeatingdepression
50,Treats for the end of June @HeatonsArtTrail followed by #JacksonPollock @tateliverpool *perfect summer*,happy,103,treats for the end of june followed by jacksonpollock perfect summer
51,@Egondesign Is this Ivana moonlighting? @Tate_StIves #Hepworth http://t.co/N0fFLeGbU8,nocode,85,is this ivana moonlighting hepworth
52,@tatteredstones @kettlesyard One of the best places in the country.,happy,67,one of the best places in the country
53,@britishmuseum @SenderosP Rosetta stone,nocode,39,rosetta stone
54,Gemma is visiting Australia today but has failed to find a Hemsworth. Keep trying! #AustrianGP @britishmuseum #Oz http://t.co/vdW5HT3g2S,nocode,136,gemma is visiting australia today but has failed to find a hemsworth keep trying austriangp oz
55,@dr_shibley @britishmuseum Awwh - possum!,happy,41,awwh possum
56,"Only two more weeks to see our exhibition on Roman food @CoriniumMuseum - stunning objects from @britishmuseum , @silchexcavation &amp; Corinium",nocode,144,only two more weeks to see our exhibition on roman food stunning objects from corinium
57,"Wonderful experience, hearing Tim Knox’s #objects2015 keynote on contents &amp; decor of UK country houses in gallery 3 of @FitzMuseum_UK!",happy,138,wonderful experience hearing tim knox s objects keynote on contents decor of uk country houses in gallery of
58,A little bit of #Waterloo1815 history @ThelmaHulbert @HonitonTown today https://t.co/VCcFPrRh81,nocode,95,a little bit of waterloo history today
59,Hooray! @MooseAllain wins Evolver Prize 2015! See it at @ThelmaHulbert from 4 July. http://t.co/GYKpsOb0W6,happy,106,hooray wins evolver prize see it at from july
60,Fabulous Enid Blyton exhibition @PlymouthMuseum. Great for kids of ALL ages! @LoveOurPast http://t.co/zmsvCN4aH5,happy,112,fabulous enid blyton exhibition great for kids of all ages
61,"Castle Hill Open Day starts at 12. Art, dance, family activities, tours, talks, a nuclear bunker and more @kettlesyard #CastleHill15",nocode,132,castle hill open day starts at art dance family activities tours talks a nuclear bunker and more castlehill
62,"@britishmuseum @aroberts_andrew How was the battle controlled? Drums,messages? Did regiments respond to the wrong drummers or instructions?",nocode,139,how was the battle controlled drums messages did regiments respond to the wrong drummers or instructions
63,@britishmuseum coffin for babies?,nocode,33,coffin for babies
64,"@NationalGallery Important art and true culture, to effectively counter the culture of violence http://t.co/Ax0RKtghS1",nocode,118,important art and true culture to effectively counter the culture of violence
65,"Alla buon ora... Ti ho trovato finalmente... (at @BritishMuseum in London, Greater London) https://t.co/YYjpdv8H97",nocode,114,alla buon ora ti ho trovato finalmente at in london greater london
66,@7stories Enid Blyton exhib'n opens @PlymouthMuseum Wed 17 June! We've been helping set up http://t.co/OkrzbdXeVa http://t.co/9FDn5QZXbo,happy,136,enid blyton exhib n opens wed june we ve been helping set up
67,KETTLE'S YARD: ANTIMUSEUM - meet the Archivist is buzzing! #CastleHill15 @kettlesyard #explorearchives http://t.co/c8UyiYMZpD,happy,125,kettle s yard antimuseum meet the archivist is buzzing castlehill explorearchives
68,"""Lot more I can do with £13.5m"": Director of @FitzMuseum_UK confirms they are not trying to buy export ban Cezanne http://t.co/cBzuD2P3pH",nocode,137,lot more i can do with m director of confirms they are not trying to buy export ban cezanne
69,A week writing reports about reports suddenly brightened by the thought of #DefiningBeauty at @britishmuseum tomorrow with @LittleMissMoo,happy,137,a week writing reports about reports suddenly brightened by the thought of definingbeauty at tomorrow with
70,La fama viene y va... @arteblanco @NationalGallery https://t.co/xzZEoCQkd3,not-relevant,74,la fama viene y va
71,Samba time! @britishmuseum @camdentalking #DiscoveryDay http://t.co/SHi5OPmVsN,happy,78,samba time discoveryday
72,"@NationalGallery The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland",not-relevant,138,the nd genocide against biafrans as promised by buhari has begun days of unreported aerial bombardment in biafraland
73,Lots of ancient artefacts to enjoy @britishmuseum #amazingplace #toomuchforaquickvisit http://t.co/utnDOEiGXO,happy,109,lots of ancient artefacts to enjoy amazingplace toomuchforaquickvisit
74,"I'm at @BritishMuseum in London, Greater London https://t.co/JxHG8pCw6s",nocode,71,i m at in london greater london
75,St George slaying the dragon. German. 15th Century. @britishmuseum. Painted wooden church statuette http://t.co/BZrfSMJAwJ,nocode,122,st george slaying the dragon german th century painted wooden church statuette
76,Plus excellent prizes from the @britishmuseum http://t.co/soUo22G29A http://t.co/YrIWP415oR,happy,91,plus excellent prizes from the
77,"Feliz cumpleaños,Rubens! Happy birthday,Rubens! @NationalGallery http://t.co/BeiJc5hNri http://t.co/UMRi93Y96C",happy,110,feliz cumplea os rubens happy birthday rubens
78,Behind the walls @_TheWhitechapel http://t.co/mylVk96joW,nocode,56,behind the walls
79,@BadDancer76 @SarahGee75 @tateliverpool midweek is better for me girls x,nocode,72,midweek is better for me girls x
80,See Christopher Williams - The Production Line of Happiness - via @_TheWhitechapel http://t.co/uf8CYDsyiX http://t.co/tWTYeAD3Pe,nocode,128,see christopher williams the production line of happiness via
81,. @NationalGallery What message does oil sponsorship of the arts send to those ngotiating a climate deal in Paris this year #AsktheGallery,angry,138,what message does oil sponsorship of the arts send to those ngotiating a climate deal in paris this year askthegallery
82,"@_TheWhitechapel  UNESCO-VENETO-THE OPERA una nuova idea di bellezza per l'Italia e il Mondo su, http://t.co/NsOuQRnFYV",nocode,119,unesco veneto the opera una nuova idea di bellezza per l italia e il mondo su
83,"Big pocket required RT @appendixjournal Ancient Roman version of Swiss Army knife, 3rd century CE, at @fitzmuseum_UK. http://t.co/Pol8JwnLna",nocode,140,big pocket required rt ancient roman version of swiss army knife rd century ce at
84,MPs are to debate @NationalGallery privatisation tomorrow as #PCS strikes continue http://t.co/7UajHU12bg ask your MP to attend,not-relevant,127,mps are to debate privatisation tomorrow as pcs strikes continue ask your mp to attend
85,I Love Museums http://t.co/LblvLtgxmR via @camunivmuseums @zoologymuseum @socltweet,happy,83,i love museums via
86,.@IanLaveryMP can you attend adjournment debate tomorrow #noprivatisation @NationalGallery #reinstatecandy @NGNotForSale @PCSCultureGroup,angry,137,can you attend adjournment debate tomorrow noprivatisation reinstatecandy
87,@SumoJim @britishmuseum http://t.co/IoCtSXGtjl,nocode,46,
88,"Excellent exhibition at @britishmuseum on Napoleonic era caricature/prints, well worth a look",happy,93,excellent exhibition at on napoleonic era caricature prints well worth a look
89,"I'm at @NationalGallery in London, Greater London https://t.co/qVJtN7jq5d",nocode,73,i m at in london greater london
90,"In the Mesoamerican gallery at @BritishMuseum, Lord Shield Jaguar &amp; Lady Xoc of Yaxochilan summon spirits. http://t.co/dzlqOpA4Zo",nocode,133,in the mesoamerican gallery at lord shield jaguar lady xoc of yaxochilan summon spirits
91,@britishmuseum @drng today shortest day down under-winter solstice *waves*,not-relevant,74,today shortest day down under winter solstice waves
92,@britishmuseum we love the badge! Here she is visiting Peel Park in 1851 http://t.co/VONu7avCip,happy,95,we love the badge here she is visiting peel park in
93,@britishmuseum @ahencyclopedia,nocode,30,
94,@NationalGallery http://t.co/RCJUgBXuzM,nocode,39,
95,#artcubed @stockleyacademy students day @NationalGallery #stockleyart #proudteacher http://t.co/DaI5AA8cp9,nocode,106,artcubed students day stockleyart proudteacher
96,#FollowFriday @sistersofmoon @sewingcircus @SewBloominHappy @tateliverpool @FACT_Liverpool @LarksVintage http://t.co/eFoF3qsJjK,not-relevant,127,followfriday
97,Remember #Waterloo @BritishMuseum satiric prints show http://t.co/CFKiu266QH or explore #IFPDA http://t.co/RNFAGjI0Lo http://t.co/u5V29POeJJ,nocode,140,remember waterloo satiric prints show or explore ifpda
98,This de Hooch 'Courtyard of a House in Delft' us quite simply my favorite painting in @NationalGallery Thanks for placing it center stage.,happy,138,this de hooch courtyard of a house in delft us quite simply my favorite painting in thanks for placing it center stage
99,Termas: Underwater Throne photos taken by Ian Kingsnorth of my recent performance @Tate_StIves http://t.co/2ClcmROoh8 http://t.co/WhXjHh6PdA,nocode,140,termas underwater throne photos taken by ian kingsnorth of my recent performance
100,* @hist_astro @britishmuseum It looks like there's some #ArtisticLicence involved in that sketch of #SummerSolstice #sunrise at #Stonehenge.,nocode,140,it looks like there s some artisticlicence involved in that sketch of summersolstice sunrise at stonehenge
101,"@PlymouthMuseum new exhibition http://t.co/uZD8O51WOe  Famous 5 http://t.co/EDVCFIXDVy  btw, #7sTurns10 - @7Stories: http://t.co/cgUdCxkDhc",nocode,139,new exhibition famous btw sturns
102,"Yes! ❤💛💚💙💜“@V_Septembre: #LoveWins 🌈  Georges #Seurat - Étude pour ""Baigneurs à Asnières"", @NationalGallery, 1883 http://t.co/8jmdOVoJb1”",nocode,137,yes lovewins georges seurat tude pour baigneurs asni res
103,@ladywhitepeace1 @britishmuseum actually the longest day this year will be June 30th when the next leap second will be added at 23:59:60,not-relevant,136,actually the longest day this year will be june th when the next leap second will be added at
104,A @heritagelottery grant helped us acquire 'Whistlejacket' in 1997. Learn more: http://t.... http://t.co/DrJOxGFsXp via @NationalGallery,happy,136,a grant helped us acquire whistlejacket in learn more via
105,@HackneyAbbott @NationalGallery @johnmcdonnellMP @pcs_union London London London,not-relevant,80,london london london
106,@britishmuseum It's amazing! You're always so up to date! The best museum in the world! Thanks!,happy,95,it s amazing you re always so up to date the best museum in the world thanks
107,#indigenousAustralia @britishmuseum moving exh about effect of colonisation &amp; documents the peoples' fight for rights to their 'country'.,nocode,141,indigenousaustralia moving exh about effect of colonisation documents the peoples fight for rights to their country
108,Have you seen the #sand in the #paint? @NationalGallery   The #Beach at #Trouville (1870) by Claude #Monet http://t.co/66wZL3xCpn,nocode,129,have you seen the sand in the paint the beach at trouville by claude monet
109,@FitzMuseum_UK Yum! 😀,happy,21,yum
110,{ @britishmuseum } #Korea #China #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics http://t.co/wjMdbqJKKM,nocode,134,korea china art london ttot lp vacation trip photography photo travel travelpics
111,@britishmuseum Of course! Nothing more and nothing less than the eye of Horus! Greetings!,happy,89,of course nothing more and nothing less than the eye of horus greetings
112,"@kdastgirkhan @NationalGallery u didn't respond to my compliments,earlier?",nocode,74,u didn t respond to my compliments earlier
113,@DerekSharplol @britishmuseum for the peninsula wars and the 1st defeat of Napolean.,nocode,84,for the peninsula wars and the st defeat of napolean
114,@britishmuseum well deserved. Congrats!,happy,39,well deserved congrats
115,@britishmuseum loved the exhibition today! My mum especially loved it! X,happy,72,loved the exhibition today my mum especially loved it x
116,@MicroPasts @britishmuseum task 40821 of Foreign Weapons before starting my real job for the day - happy Monday! http://t.co/4tU8k7lgRi,happy,135,task of foreign weapons before starting my real job for the day happy monday
117,@RoyalMintUK @NationalGallery @OrdnanceSurvey @RoyalMail All vital and profitable national institutions. Don't let the #Tories sell them off,not-relevant,140,all vital and profitable national institutions don t let the tories sell them off
118,User testing and 3D printing @RAMMuseum,nocode,39,user testing and d printing
119,@britishmuseum @GerardAraud Lenin's favourite painter,nocode,53,lenin s favourite painter
120,I got 10/10 in 'Can you guess the artwork?' http://t.co/jyDiunjQg3 #arthistorydegree #wellworthit @NationalGallery @Tate @NatGalleryAus,happy,135,i got in can you guess the artwork arthistorydegree wellworthit
121,@NationalGallery @sladurantaye And Rubens' Massacre of the Innocents @agotoronto http://t.co/S6JyNp1cLr,nocode,103,and rubens massacre of the innocents
122,@HolbornDining one of the most delicious coffee's ever @RosewoodLondon before tackling the Greek exhibition @britishmuseum,nocode,122,one of the most delicious coffee s ever before tackling the greek exhibition
123,#AskTheGallery How much did @NationalGallery spend on employing CIS to staff the Rembrandt Exhibition and the Sainsbury Wing?,not-relevant,125,askthegallery how much did spend on employing cis to staff the rembrandt exhibition and the sainsbury wing
124,This is how a show should be hung. Don't miss Christopher Williams' The Production Line of Happiness @_TheWhitechapel http://t.co/6GIaHBKSXD,nocode,140,this is how a show should be hung don t miss christopher williams the production line of happiness
125,A young friend has drawn us a great pic of @kettlesyard inside and out with his new @archiveshub pencil #CastleHill15 http://t.co/kAxZ2Vi2c8,happy,140,a young friend has drawn us a great pic of inside and out with his new pencil castlehill
126,@ReclaimOurBard @pcs_union @NationalGallery : Culture? Funded by the P.R. budget? DO ME A FAVOUR. I wouldn't go there if you paid me.,disgust|angry,133,culture funded by the p r budget do me a favour i wouldn t go there if you paid me
127,@Peter_Bridgman got a painting in London Open at @_TheWhitechapel and couple of paintings in Reality at @walkergallery - both open mid July,nocode,139,got a painting in london open at and couple of paintings in reality at both open mid july
128,Artist Larissa Sansour discusses the use of sci-fi in her films @_thewhitechapel 27 June with @FL_FLAMIN @Film_London http://t.co/TR3VI57skn,nocode,140,artist larissa sansour discusses the use of sci fi in her films june with
129,@nationalgallery #AskTheGallery When will you be re-instating Candy Udwin? Why should the arts be subject to private profit?,angry,124,askthegallery when will you be re instating candy udwin why should the arts be subject to private profit
130,Patients of Sharp Ward are enjoying historic views of the city thanks to @PlymouthMuseum http://t.co/TIx8wplLu9 http://t.co/x0H2a5lkHy,happy,134,patients of sharp ward are enjoying historic views of the city thanks to
131,"Rosetta Stone ""@britishmuseum: .@SenderosP example of what the Napoleonic Wars brought out of Egypt #Waterloo200 http://t.co/SX7ks6lwwn”",nocode,136,rosetta stone example of what the napoleonic wars brought out of egypt waterloo
132,@Rossy__RORO   It is also a privilege to have the great @NationalGallery in London it is truly wonderful #arttherapy,happy,116,it is also a privilege to have the great in london it is truly wonderful arttherapy
133,@Aisling_Pash @schemaly @britishmuseum Are you encouraging them to violate men's privacy? Assault! This woman's advocating assault!,disgust|angry,131,are you encouraging them to violate men s privacy assault this woman s advocating assault
134,@NationalGallery The bird cage to represent infancy. The instrument to represent youth . The Armour to represent strength and manhood,nocode,133,the bird cage to represent infancy the instrument to represent youth the armour to represent strength and manhood
135,Fantastic to be in London today speaking @ACEnterprises event. Met lovely people from @GH_Sudbury &amp; @CamUnivMuseums http://t.co/3uM1n3njPF,happy,142,fantastic to be in london today speaking event met lovely people from
136,"@NationalGallery It's a bright but cloudy day. If the sun is behind a cloud, there wouldn't be a lot of shadow, maybe?",not-relevant,118,it s a bright but cloudy day if the sun is behind a cloud there wouldn t be a lot of shadow maybe
137,open source Events CMS @southbankcentre  - could this be what @CamUnivMuseums needs?  @robgethers #culturegeek,nocode,110,open source events cms could this be what needs culturegeek
138,#askthegallery What do you take more pride in: Hanging classic artwork or hanging your staff out to dry? @NationalGallery,angry,121,askthegallery what do you take more pride in hanging classic artwork or hanging your staff out to dry
139,"@NationalGallery The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland",not-relevant,138,the nd genocide against biafrans as promised by buhari has begun days of unreported aerial bombardment in biafraland
140,"""Crisis Through the Ages"" topic of our one-day conference. Booking is free but mandatory. Thx! @ManeyArchaeo @wellcometrust @britishmuseum",nocode,138,crisis through the ages topic of our one day conference booking is free but mandatory thx
141,Walking through the #British #museum #London @britishmuseum @StreetArtLondon @bcn_arte #Art @DallasMuseumArt  : https://t.co/z9i1tR2Dy4,nocode,135,walking through the british museum london art
142,"Excited for discussions on the potential, practicalities &amp;challenges of museum archival research #museumarchive @britishmuseum event in July",happy,144,excited for discussions on the potential practicalities challenges of museum archival research museumarchive event in july
143,@Hellboy919 @AboutLondon @MadameTussauds @BateauxLondon @britishmuseum @Camdencoffee @ThamesRIBExp @thamesclippers @EmiratesAirLDN thank you,happy,140,thank you
144,Thanks to Lucy &amp; co. New Rhythms Through New Eyes going up in the Education studio @kettlesyard in prep for Saturday! http://t.co/DMWyOwiy23,happy,144,thanks to lucy co new rhythms through new eyes going up in the education studio in prep for saturday
145,Wonderful book from trip to the @britishmuseum today. Such a fun way to improve on geography knowledge! #maps http://t.co/JYYzIcGp4U,happy,132,wonderful book from trip to the today such a fun way to improve on geography knowledge maps
146,"I'm at @NationalGallery in London, Greater London https://t.co/6XTeuY6JEb",nocode,73,i m at in london greater london
147,"In London @nationalgallery, a beautiful Vermeer #inarttours #masterpieces https://t.co/VukC9cOZkD",happy,97,in london a beautiful vermeer inarttours masterpieces
148,.@NationalGallery ignores questions on sponsorship fees received from Shell. No surprises. #Artwash https://t.co/sTcbuC1dhz,disgust,123,ignores questions on sponsorship fees received from shell no surprises artwash
149,CEO N Chandra welcomed 450 guests to the TCS UK reception which featured 400 yrs of #shakespeare magic @britishmuseum http://t.co/b0DR7pBRnK,nocode,140,ceo n chandra welcomed guests to the tcs uk reception which featured yrs of shakespeare magic
150,Jackson Pollock @tateliverpool http://t.co/mLll6yHSd8 http://t.co/m2nk96LqCV,nocode,76,jackson pollock
151,"@ATG_Editorial at the #SoFAA dinner listening to the wonderful main speaker, Tim Knox of @FitzMuseum_UK",happy,103,at the sofaa dinner listening to the wonderful main speaker tim knox of
152,Fantastic @johnmcdonnellMP standing up for workers @NationalGallery #noprivatisation while @edvaizey sits on fence! http://t.co/QzBYpUAtQt,angry,138,fantastic standing up for workers noprivatisation while sits on fence
153,Enjoyed a couple of hours in side the British Museum @britishmuseum lonelyplanet #summer #NotSoSunny… https://t.co/BHGoPi3c8T,happy,125,enjoyed a couple of hours in side the british museum lonelyplanet summer notsosunny
154,not long till the blind spots exhibition! #jacksonpollock @tateliverpool 😍,happy,74,not long till the blind spots exhibition jacksonpollock
155,Lo viste? El tuit más popular de hoy entre las personas que sigo http://t.co/L5gaYeSWie por @britishmuseum,nocode,106,lo viste el tuit m s popular de hoy entre las personas que sigo por
156,"@britishmuseum you have incredibly helpful staff here, from security team to support staff in rooms and galleries! #greatservice",happy,128,you have incredibly helpful staff here from security team to support staff in rooms and galleries greatservice
157,Amazing job team @britishmuseum - @periscopeco 2 in the bag. Massive thanks to @thehistoryguy. Happy #Waterloo200 peeps!,happy,120,amazing job team in the bag massive thanks to happy waterloo peeps
158,.@CarolineLucas can you attend adjournment debate tomorrow #noprivatisation @NationalGallery #reinstatecandy @NGNotForSale @PCSCultureGroup,nocode,139,can you attend adjournment debate tomorrow noprivatisation reinstatecandy
159,@RAMMuseum / Exeter Redcoats ready for the @rugbyworldcup coming to @SandyParkExeter @RWC2015Exeter pic @maustinpics http://t.co/chHI9ZylF3,nocode,139,exeter redcoats ready for the coming to pic
160,"After his defeat at Waterloo, Napoleon abdicated for the second time http://t.co/bRUD9bNgj6  via @britishmuseum http://t.co/5SlVORrunq",nocode,134,after his defeat at waterloo napoleon abdicated for the second time via
161,.@maxmara Art Prize winner Corin Sworn creates a new large-scale installation @_TheWhitechapel http://t.co/RFTa1anHVt http://t.co/oGF4ir0B1K,nocode,140,art prize winner corin sworn creates a new large scale installation
162,"6 years ago today, the greatest museum opened: the #acropolismuseum. @britishmuseum #givethemback #elginmarbles #greece",happy,119,years ago today the greatest museum opened the acropolismuseum givethemback elginmarbles greece
163,@britishmuseum Spartan! Do you suppose some knew when to pose?,nocode,62,spartan do you suppose some knew when to pose
164,BEATRICE GIBSON will present her new film THIS SATURDAY @_TheWhitechapel @FL_FLAMIN Book now: http://t.co/0rDWW3zHKv http://t.co/zQQTulLM3J,nocode,139,beatrice gibson will present her new film this saturday book now
165,@britishmuseum @krisevans @adamlambert,not-relevant,38,
166,Had an excellent lunchtime visit to @britishmuseum with @theresecoen this afternoon for the #DefiningBeauty exhibition.,happy,119,had an excellent lunchtime visit to with this afternoon for the definingbeauty exhibition
167,The perfect location to wear #VanessaGounden ... The @britishmuseum's Great Court #WearableART #Artivism http://t.co/RAAvlb1AcW,happy,127,the perfect location to wear vanessagounden the s great court wearableart artivism
168,@pennyprileszky @stockleyacademy @NationalGallery whole trip free!,happy,66,whole trip free
169,.@nationalgallery Reinstate Candy after tribunal success #AskTheGallery @PCSCultureGroup http://t.co/hiQ6QFT8o0,nocode,111,reinstate candy after tribunal success askthegallery
170,#ThemePark #Leisure Second phase of Cornwallâs Tate St Ives steams ahead @Tate_StIves @ILoveCornwallUK @BAMC... http://t.co/Rc35aNAPXI,nocode,136,themepark leisure second phase of cornwall s tate st ives steams ahead
171,@britishmuseum @MrsSymbols @adamlambert,nocode,39,
172,Praise for @tateliverpool  https://t.co/QlriENJBiV,happy,50,praise for
173,@NationalGallery what is the scope of getting some of the art and ideally complete exhibitions outside London? NW maybe  #AskTheGallery,nocode,135,what is the scope of getting some of the art and ideally complete exhibitions outside london nw maybe askthegallery
174,"...and @BritishMuseum have the Sutton Hoo Anglo-Saxon hoard, including the iconic helmet. Striking up close. http://t.co/gipigjfNAy",happy,131,and have the sutton hoo anglo saxon hoard including the iconic helmet striking up close
175,Looking forward to seeing the Australia exhibition at @britishmuseum soon. My take on the Ancient Greece exhibit: http://t.co/ef2NOvoJJY,happy,136,looking forward to seeing the australia exhibition at soon my take on the ancient greece exhibit
176,@Canton_Chris that or piss @schemaly @britishmuseum,not-relevant,51,that or piss
177,Evidence ?@RieHepworth @PaulKindersley @NTHepburn @kettlesyard  correct Christopher Wood and correct time frame ? http://t.co/PvbJqWAWmr,nocode,136,evidence correct christopher wood and correct time frame
178,#job Development Officer - @RAMMuseum​ in #Exeter - closing date 10 July http://t.co/wL9M2ylIIZ #museumjobs,not-relevant,107,job development officer in exeter closing date july museumjobs
